Samples,Location
Exp017028_T_Py,distal
Exp017004_T_An,distal
Exp017022_T_An,distal
Exp025213_T_An,distal
Exp025215_T_An,distal
Exp025217_T_An,distal
Exp025229_T_An,distal
Exp025241_T_An,distal
Exp025251_T_An,distal
Exp025255_T_An,distal
Exp008534_T_An,distal
Exp016992_T_AI,distal
Exp017010_T_AI,distal
Exp017020_T_AI,distal
Exp017032_T_AI,distal
Exp017036_T_AI,distal
Exp008538_T_AI,distal
Exp016986_T_GC,proximal
Exp016990_T_GC,proximal
Exp017006_T_GC,proximal
Exp017024_T_GC,proximal
Exp017030_T_GC,proximal
Exp025203_T_GC,proximal
Exp025221_T_GC,proximal
Exp025227_T_GC,proximal
Exp025247_T_GC,proximal
Exp025253_T_GC,proximal
Exp025447_T_GC,proximal
Exp008579_T_GC,proximal
Exp016984_T_LC,proximal
Exp016996_T_LC,proximal
Exp017014_T_LC,proximal
Exp017016_T_LC,proximal
Exp017026_T_LC,proximal
Exp017034_T_LC,proximal
Exp017038_T_LC,proximal
Exp025223_T_LC,proximal
Exp025231_T_LC,proximal
Exp008542_T_LC,proximal
Exp008569_T_LC,proximal
Exp016994_T_Fu,proximal
Exp017002_T_Fu,proximal
Exp017008_T_Fu,proximal
Exp017018_T_Fu,proximal
Exp025219_T_Fu,proximal
Exp025243_T_Fu,proximal
Exp008546_T_Fu,proximal
Exp008577_T_Fu,proximal
Exp016998_T_Ca,proximal
Exp017000_T_Ca,proximal
Exp025211_T_Ca,proximal
Exp025225_T_Ca,proximal
Exp025245_T_Ca,proximal
Exp025249_T_Ca,proximal
Exp025449_T_Ca,proximal
Exp025451_T_Ca,proximal
Exp008536_T_Ca,proximal
Exp008540_T_Ca,proximal
Exp017029_P_Py,distal
Exp017005_P_An,distal
Exp017023_P_An,distal
Exp025214_P_An,distal
Exp025216_P_An,distal
Exp025218_P_An,distal
Exp025230_P_An,distal
Exp025242_P_An,distal
Exp025252_P_An,distal
Exp025256_P_An,distal
Exp008535_P_An,distal
Exp016993_P_AI,distal
Exp017011_P_AI,distal
Exp017021_P_AI,distal
Exp017033_P_AI,distal
Exp017037_P_AI,distal
Exp008539_P_AI,distal
Exp016987_P_GC,proximal
Exp016991_P_GC,proximal
Exp017007_P_GC,proximal
Exp017025_P_GC,proximal
Exp017031_P_GC,proximal
Exp025204_P_GC,proximal
Exp025222_P_GC,proximal
Exp025228_P_GC,proximal
Exp025248_P_GC,proximal
Exp025254_P_GC,proximal
Exp025448_P_GC,proximal
Exp008580_P_GC,proximal
Exp016985_P_LC,proximal
Exp016997_P_LC,proximal
Exp017015_P_LC,proximal
Exp017017_P_LC,proximal
Exp017027_P_LC,proximal
Exp017035_P_LC,proximal
Exp017039_P_LC,proximal
Exp025224_P_LC,proximal
Exp025232_P_LC,proximal
Exp008543_P_LC,proximal
Exp008570_P_LC,proximal
Exp016995_P_Fu,proximal
Exp017003_P_Fu,proximal
Exp017009_P_Fu,proximal
Exp017019_P_Fu,proximal
Exp025220_P_Fu,proximal
Exp025244_P_Fu,proximal
Exp008547_P_Fu,proximal
Exp008578_P_Fu,proximal
Exp016999_P_Ca,proximal
Exp017001_P_Ca,proximal
Exp025212_P_Ca,proximal
Exp025226_P_Ca,proximal
Exp025246_P_Ca,proximal
Exp025250_P_Ca,proximal
Exp025450_P_Ca,proximal
Exp025452_P_Ca,proximal
Exp008537_P_Ca,proximal
Exp008541_P_Ca,proximal
